GID_0,year,rainy_months,stunting_rate,hot_months,rainy_months1,rainy_months2,hot_months1,hot_months2,GDP,laggedGDP,laggedGDP2
AGO,2001,0,45.1,0,NA,NA,NA,NA,8.156377022,NA,NA
BDI,2001,0,62,0,NA,NA,NA,NA,43.84314206,NA,NA
BEN,2001,0,36.4,0,NA,NA,NA,NA,25.04816274,NA,NA
BFA,2001,1,41.8,0,NA,NA,NA,NA,26.92043043,NA,NA
BWA,2001,2,31.1,0,NA,NA,NA,NA,2.59029062,NA,NA
CAF,2001,0,43.5,0,NA,NA,NA,NA,NA,NA,NA
CIV,2001,0,33.6,0,NA,NA,NA,NA,17.27709755,NA,NA
CMR,2001,1,37.4,0,NA,NA,NA,NA,18.62095827,NA,NA
COD,2001,1,47.5,0,NA,NA,NA,NA,32.87090402,NA,NA
COG,2001,1,36.1,0,NA,NA,NA,NA,5.799931651,NA,NA
COM,2001,1,41.8,3,NA,NA,NA,NA,29.37628658,NA,NA
ERI,2001,2,47.1,1,NA,NA,NA,NA,15.1638444,NA,NA
ETH,2001,2,56.1,1,NA,NA,NA,NA,42.34057112,NA,NA
GAB,2001,0,25.8,0,NA,NA,NA,NA,6.143932582,NA,NA
GHA,2001,0,32.7,0,NA,NA,NA,NA,35.24180012,NA,NA
GIN,2001,1,34.4,3,NA,NA,NA,NA,21.74068348,NA,NA
GMB,2001,0,29.2,2,NA,NA,NA,NA,25.42563238,NA,NA
GNB,2001,0,33.5,2,NA,NA,NA,NA,37.507955,NA,NA
GNQ,2001,1,38.1,0,NA,NA,NA,NA,NA,NA,NA
KEN,2001,0,38.7,0,NA,NA,NA,NA,27.84926011,NA,NA
LBR,2001,0,44.1,2,NA,NA,NA,NA,76.5335872,NA,NA
LSO,2001,2,41.1,1,NA,NA,NA,NA,8.298870587,NA,NA
MDG,2001,0,54.7,2,NA,NA,NA,NA,29.85131341,NA,NA
MLI,2001,0,39.4,1,NA,NA,NA,NA,32.81360596,NA,NA
MOZ,2001,2,49.5,1,NA,NA,NA,NA,18.24848986,NA,NA
MRT,2001,1,38.6,1,NA,NA,NA,NA,24.86895971,NA,NA
MWI,2001,0,55.3,0,NA,NA,NA,NA,35.28267377,NA,NA
NAM,2001,1,30.2,0,NA,NA,NA,NA,9.67546592,NA,NA
NER,2001,0,52,0,NA,NA,NA,NA,40.18192773,NA,NA
NGA,2001,0,42,0,NA,NA,NA,NA,24.47535466,NA,NA
RWA,2001,2,49.5,0,NA,NA,NA,NA,31.81275239,NA,NA
SEN,2001,0,24.6,1,NA,NA,NA,NA,16.25243231,NA,NA
SLE,2001,0,39,2,NA,NA,NA,NA,45.13635404,NA,NA
SOM,2001,0,32,2,NA,NA,NA,NA,NA,NA,NA
STP,2001,1,30,0,NA,NA,NA,NA,10.1341755,NA,NA
SWZ,2001,1,36.5,0,NA,NA,NA,NA,12.09922052,NA,NA
SYC,2001,0,10.4,0,NA,NA,NA,NA,2.825866279,NA,NA
TCD,2001,1,42.4,0,NA,NA,NA,NA,40.2954383,NA,NA
TGO,2001,0,34.7,0,NA,NA,NA,NA,33.92963181,NA,NA
TZA,2001,1,46.8,0,NA,NA,NA,NA,25.80028911,NA,NA
UGA,2001,2,43.3,0,NA,NA,NA,NA,27.85024148,NA,NA
ZMB,2001,2,53.6,0,NA,NA,NA,NA,15.52748224,NA,NA
ZWE,2001,2,33,1,NA,NA,NA,NA,15.62707072,NA,NA
AGO,2002,1,42.4,1,0,NA,0,NA,5.839549975,8.156377022,NA
BDI,2002,2,61.6,1,0,NA,0,NA,43.33361124,43.84314206,NA
BEN,2002,1,36.1,0,0,NA,0,NA,25.38272928,25.04816274,NA
BFA,2002,0,42.1,1,1,NA,0,NA,26.37244848,26.92043043,NA
BWA,2002,0,30.6,1,2,NA,0,NA,2.425615993,2.59029062,NA
CAF,2002,1,43.5,1,0,NA,0,NA,NA,NA,NA
CIV,2002,0,33.7,0,0,NA,0,NA,18.73731416,17.27709755,NA
CMR,2002,1,37.4,2,1,NA,0,NA,18.2716804,18.62095827,NA
COD,2002,1,47.3,1,1,NA,0,NA,26.58377932,32.87090402,NA
COG,2002,0,34.7,0,1,NA,0,NA,6.261580123,5.799931651,NA
COM,2002,1,40.9,1,1,NA,3,NA,29.37601242,29.37628658,NA
ERI,2002,0,46.7,2,2,NA,1,NA,13.60181006,15.1638444,NA
ETH,2002,0,54.7,3,2,NA,1,NA,38.69237169,42.34057112,NA
GAB,2002,1,25.6,0,0,NA,0,NA,5.743861639,6.143932582,NA
GHA,2002,0,32.1,0,0,NA,0,NA,35.14837706,35.24180012,NA
GIN,2002,1,34.7,0,1,NA,3,NA,21.63161471,21.74068348,NA
GMB,2002,0,28.5,4,0,NA,2,NA,24.12493214,25.42563238,NA
GNB,2002,0,33.2,4,0,NA,2,NA,41.8319889,37.507955,NA
GNQ,2002,0,37.1,0,1,NA,0,NA,NA,NA,NA
KEN,2002,1,38.4,1,0,NA,0,NA,25.8539676,27.84926011,NA
LBR,2002,0,43.2,0,0,NA,2,NA,79.04236246,76.5335872,NA
LSO,2002,0,41.3,0,2,NA,1,NA,6.395312833,8.298870587,NA
MDG,2002,1,54.3,0,0,NA,2,NA,34.14251398,29.85131341,NA
MLI,2002,0,38.6,2,0,NA,1,NA,32.71418375,32.81360596,NA
MOZ,2002,0,48.5,1,2,NA,1,NA,22.79995592,18.24848986,NA
MRT,2002,0,36.8,1,1,NA,1,NA,24.23001696,24.86895971,NA
MWI,2002,1,54.9,1,0,NA,0,NA,38.81840596,35.28267377,NA
NAM,2002,1,30,0,1,NA,0,NA,10.03914318,9.67546592,NA
NER,2002,0,51.9,1,0,NA,0,NA,41.36693517,40.18192773,NA
NGA,2002,1,41.7,0,0,NA,0,NA,36.96508267,24.47535466,NA
RWA,2002,0,49.7,2,2,NA,0,NA,30.21345028,31.81275239,NA
SEN,2002,0,23.8,2,0,NA,1,NA,13.38078013,16.25243231,NA
SLE,2002,2,39.1,1,0,NA,2,NA,46.21424623,45.13635404,NA
SOM,2002,2,32.2,1,0,NA,2,NA,NA,NA,NA
STP,2002,2,28.6,1,1,NA,0,NA,10.64688066,10.1341755,NA
SWZ,2002,0,36.1,0,1,NA,0,NA,12.50254377,12.09922052,NA
SYC,2002,1,9.8,0,0,NA,0,NA,2.885621599,2.825866279,NA
TCD,2002,0,42.2,0,1,NA,0,NA,37.9029524,40.2954383,NA
TGO,2002,0,34.1,0,0,NA,0,NA,33.1543868,33.92963181,NA
TZA,2002,1,45.9,1,1,NA,0,NA,25.16308225,25.80028911,NA
UGA,2002,0,42.5,1,2,NA,0,NA,23.433428,27.85024148,NA
ZMB,2002,0,52.9,1,2,NA,0,NA,15.36142994,15.52748224,NA
ZWE,2002,0,33.6,1,2,NA,1,NA,12.56836756,15.62707072,NA
AGO,2003,1,39.9,1,1,0,1,0,6.198384339,5.839549975,8.156377022
BDI,2003,0,61.2,0,2,0,1,0,42.8412837,43.33361124,43.84314206
BEN,2003,2,36,0,1,0,0,0,24.45398374,25.38272928,25.04816274
BFA,2003,1,42.3,0,0,1,1,0,25.96097682,26.37244848,26.92043043
BWA,2003,0,30,2,0,2,1,0,2.722386955,2.425615993,2.59029062
CAF,2003,1,43.4,0,1,0,1,0,NA,NA,NA
CIV,2003,2,33.8,1,0,0,0,0,20.77602022,18.73731416,17.27709755
CMR,2003,1,37.2,0,1,1,2,0,17.47378423,18.2716804,18.62095827
COD,2003,0,46.9,0,1,1,1,0,26.05383881,26.58377932,32.87090402
COG,2003,1,33.3,0,0,1,0,0,6.275223939,6.261580123,5.799931651
COM,2003,0,40.2,0,1,1,1,3,29.37612727,29.37601242,29.37628658
ERI,2003,0,46.7,1,0,2,2,1,11.82992122,13.60181006,15.1638444
ETH,2003,1,53.4,3,0,2,3,1,37.28505541,38.69237169,42.34057112
GAB,2003,1,25.3,2,1,0,0,0,6.004020935,5.743861639,6.143932582
GHA,2003,2,31.5,1,0,0,0,0,36.5454059,35.14837706,35.24180012
GIN,2003,0,35,0,1,1,0,3,20.7799679,21.63161471,21.74068348
GMB,2003,1,27.8,0,0,0,4,2,26.74829049,24.12493214,25.42563238
GNB,2003,2,32.7,0,0,0,4,2,42.34587922,41.8319889,37.507955
GNQ,2003,0,36.1,2,0,1,0,0,NA,NA,NA
KEN,2003,1,38,0,1,0,1,0,25.80443937,25.8539676,27.84926011
LBR,2003,2,42.8,1,0,0,0,2,72.2403877,79.04236246,76.5335872
LSO,2003,0,41.5,2,0,2,0,1,6.346886124,6.395312833,8.298870587
MDG,2003,1,53.7,2,1,0,0,2,32.02979096,34.14251398,29.85131341
MLI,2003,1,37.9,1,0,0,2,1,29.87662985,32.71418375,32.81360596
MOZ,2003,1,47.5,0,0,2,1,1,22.70563355,22.79995592,18.24848986
MRT,2003,2,35.1,0,0,1,1,1,24.17884985,24.23001696,24.86895971
MWI,2003,1,54.3,0,1,0,1,0,36.2226653,38.81840596,35.28267377
NAM,2003,0,29.6,2,1,1,0,0,10.21534323,10.03914318,9.67546592
NER,2003,1,51.6,0,0,0,1,0,41.1955263,41.36693517,40.18192773
NGA,2003,1,41.4,0,1,0,0,0,33.82706055,36.96508267,24.47535466
RWA,2003,0,50,0,0,2,2,0,33.05306527,30.21345028,31.81275239
SEN,2003,1,23.1,0,0,0,2,1,15.49109984,13.38078013,16.25243231
SLE,2003,0,39.2,0,2,0,1,2,46.35657463,46.21424623,45.13635404
SOM,2003,1,32.4,2,2,0,1,2,NA,NA,NA
STP,2003,0,27.1,2,2,1,1,0,10.3442664,10.64688066,10.1341755
SWZ,2003,0,35.5,3,0,1,0,0,12.38526361,12.50254377,12.09922052
SYC,2003,0,9.4,0,1,0,0,0,2.636895547,2.885621599,2.825866279
TCD,2003,1,42.1,0,0,1,0,0,32.28602338,37.9029524,40.2954383
TGO,2003,2,33.4,1,0,0,0,0,28.3790964,33.1543868,33.92963181
TZA,2003,0,45.1,1,1,1,1,0,24.9107254,25.16308225,25.80028911
UGA,2003,0,41.8,0,0,2,1,0,24.50702258,23.433428,27.85024148
ZMB,2003,0,52,1,0,2,1,0,15.61709962,15.36142994,15.52748224
ZWE,2003,0,34.1,0,0,2,1,1,14.79335521,12.56836756,15.62707072
AGO,2004,1,37.7,0,1,1,1,1,6.250876536,6.198384339,5.839549975
BDI,2004,1,60.8,1,0,2,0,1,41.90260497,42.8412837,43.33361124
BEN,2004,0,36.1,2,2,1,0,0,26.52084928,24.45398374,25.38272928
BFA,2004,0,42.2,3,1,0,0,1,23.38143845,25.96097682,26.37244848
BWA,2004,1,29.6,1,0,0,2,1,2.25958535,2.722386955,2.425615993
CAF,2004,0,43.3,1,1,1,0,1,NA,NA,NA
CIV,2004,1,34,1,2,0,1,0,16.64001898,20.77602022,18.73731416
CMR,2004,0,36.9,2,1,1,0,2,17.56095272,17.47378423,18.2716804
COD,2004,1,46.3,2,0,1,0,1,23.87935949,26.05383881,26.58377932
COG,2004,0,31.9,4,1,0,0,0,5.509406303,6.275223939,6.261580123
COM,2004,1,39.5,1,0,1,0,1,29.37601992,29.37612727,29.37601242
ERI,2004,0,46.7,0,0,0,1,2,10.6422743,11.82992122,13.60181006
ETH,2004,0,52,1,1,0,3,3,38.67975495,37.28505541,38.69237169
GAB,2004,0,24.7,2,1,1,2,0,5.467291043,6.004020935,5.743861639
GHA,2004,1,30.8,1,2,0,1,0,37.95242609,36.5454059,35.14837706
GIN,2004,1,35.3,0,0,1,0,0,23.31419591,20.7799679,21.63161471
GMB,2004,1,27.2,1,1,0,0,4,31.50261835,26.74829049,24.12493214
GNB,2004,0,32.3,0,2,0,0,4,41.99168143,42.34587922,41.8319889
GNQ,2004,1,35,2,0,0,2,0,NA,NA,NA
KEN,2004,1,37.5,1,1,1,0,1,24.92904109,25.80443937,25.8539676
LBR,2004,1,42.1,0,2,0,1,0,65.04740245,72.2403877,79.04236246
LSO,2004,1,41.7,2,0,0,2,0,5.984006756,6.346886124,6.395312833
MDG,2004,1,53,0,1,1,2,0,31.42050528,32.02979096,34.14251398
MLI,2004,1,37.1,1,1,0,1,2,30.01550987,29.87662985,32.71418375
MOZ,2004,0,46.7,0,1,0,0,1,22.38418555,22.70563355,22.79995592
MRT,2004,0,33.6,1,2,0,0,1,22.91789922,24.17884985,24.23001696
MWI,2004,1,53.6,0,1,1,0,1,34.71394761,36.2226653,38.81840596
NAM,2004,1,29.1,1,0,1,2,0,8.939778917,10.21534323,10.03914318
NER,2004,1,51.3,0,1,0,0,1,37.37172856,41.1955263,41.36693517
NGA,2004,1,41.1,1,1,1,0,0,27.2304536,33.82706055,36.96508267
RWA,2004,1,50.1,1,0,0,0,2,33.91255785,33.05306527,30.21345028
SEN,2004,1,22.5,0,1,0,0,2,14.20179954,15.49109984,13.38078013
SLE,2004,1,39.2,0,0,2,0,1,48.48605626,46.35657463,46.21424623
SOM,2004,0,32.5,1,1,2,2,1,NA,NA,NA
STP,2004,0,25.8,1,0,2,2,1,9.864626461,10.3442664,10.64688066
SWZ,2004,1,34.9,1,0,0,3,0,9.659472724,12.38526361,12.50254377
SYC,2004,1,9.1,0,0,1,0,0,3.457136596,2.636895547,2.885621599
TCD,2004,0,41.8,0,1,0,0,0,22.89717623,32.28602338,37.9029524
TGO,2004,1,32.6,1,2,0,1,0,31.11188892,28.3790964,33.1543868
TZA,2004,1,44.3,1,0,1,1,1,25.69697633,24.9107254,25.16308225
UGA,2004,1,41,1,0,0,0,1,21.67035264,24.50702258,23.433428
ZMB,2004,1,51.1,0,0,0,1,1,15.58094288,15.61709962,15.36142994
ZWE,2004,0,34.5,0,0,0,0,1,18.06379683,14.79335521,12.56836756
AGO,2005,0,35.8,3,1,1,0,1,5.060402948,6.250876536,6.198384339
BDI,2005,0,60.4,9,1,0,1,0,40.84812339,41.90260497,42.8412837
BEN,2005,0,36.1,3,0,2,2,0,26.6894285,26.52084928,24.45398374
BFA,2005,1,42,3,0,1,3,0,26.77091903,23.38143845,25.96097682
BWA,2005,0,28.9,3,1,0,1,2,1.828380524,2.25958535,2.722386955
CAF,2005,1,43.1,3,0,1,1,0,NA,NA,NA
CIV,2005,0,34,5,1,2,1,1,16.06518536,16.64001898,20.77602022
CMR,2005,0,36.5,3,0,1,2,0,16.73417685,17.56095272,17.47378423
COD,2005,0,45.8,9,1,0,2,0,21.57938225,23.87935949,26.05383881
COG,2005,1,30.7,6,0,1,4,0,6.104237867,5.509406303,6.275223939
COM,2005,0,38.8,3,1,0,1,0,29.37627389,29.37601992,29.37612727
ERI,2005,1,47,1,0,0,0,1,22.60000021,10.6422743,11.82992122
ETH,2005,0,50.7,2,0,1,1,3,41.17449856,38.67975495,37.28505541
GAB,2005,1,23.8,3,0,1,2,2,4.984638611,5.467291043,6.004020935
GHA,2005,0,30,2,1,2,1,1,37.45301293,37.95242609,36.5454059
GIN,2005,0,35.5,3,1,0,0,0,22.28106496,23.31419591,20.7799679
GMB,2005,1,26.6,2,1,1,1,0,32.09063281,31.50261835,26.74829049
GNB,2005,1,31.9,1,0,2,0,0,44.35828842,41.99168143,42.34587922
GNQ,2005,1,33.9,2,1,0,2,2,NA,NA,NA
KEN,2005,0,36.8,5,1,1,1,0,24.2362747,24.92904109,25.80443937
LBR,2005,0,41.4,3,1,2,0,1,66.03272919,65.04740245,72.2403877
LSO,2005,0,41.8,1,1,0,2,2,5.671130405,5.984006756,6.346886124
MDG,2005,0,52.2,1,1,1,0,2,30.76273393,31.42050528,32.02979096
MLI,2005,1,36.3,1,1,1,1,1,32.37848184,30.01550987,29.87662985
MOZ,2005,0,45.9,5,0,1,0,0,22.76743048,22.38418555,22.70563355
MRT,2005,0,32.3,1,0,2,1,0,20.07019672,22.91789922,24.17884985
MWI,2005,0,52.8,6,1,1,0,0,32.91457648,34.71394761,36.2226653
NAM,2005,0,28.6,0,1,0,1,2,10.36848875,8.939778917,10.21534323
NER,2005,1,51,2,1,1,0,0,39.28052013,37.37172856,41.1955263
NGA,2005,0,40.7,2,1,1,1,0,26.08928283,27.2304536,33.82706055
RWA,2005,0,50.1,8,1,0,1,0,33.79410695,33.91255785,33.05306527
SEN,2005,1,21.9,1,1,1,0,0,15.18039641,14.20179954,15.49109984
SLE,2005,0,39.2,3,1,0,0,0,49.39145138,48.48605626,46.35657463
SOM,2005,0,32.6,2,0,1,1,2,NA,NA,NA
STP,2005,0,24.5,1,0,0,1,2,8.723964732,9.864626461,10.3442664
SWZ,2005,1,34.5,2,1,0,1,3,10.9717566,9.659472724,12.38526361
SYC,2005,1,8.8,0,1,0,0,0,3.254551734,3.457136596,2.636895547
TCD,2005,1,41.5,3,0,1,0,0,53.81412435,22.89717623,32.28602338
TGO,2005,0,32,2,1,2,1,1,36.55005838,31.11188892,28.3790964
TZA,2005,0,43.6,11,1,0,1,1,24.64884108,25.69697633,24.9107254
UGA,2005,0,40.2,6,1,0,1,0,25.07493613,21.67035264,24.50702258
ZMB,2005,0,50.1,5,1,0,0,1,14.58855137,15.58094288,15.61709962
ZWE,2005,1,34.6,2,0,0,0,0,17.14823974,18.06379683,14.79335521
AGO,2006,0,34.2,1,0,1,3,0,5.191280189,5.060402948,6.250876536
BDI,2006,2,59.8,4,0,1,9,1,40.63768227,40.84812339,41.90260497
BEN,2006,0,36.1,4,0,0,3,2,26.63180343,26.6894285,26.52084928
BFA,2006,1,41.5,0,1,0,3,3,25.22897616,26.77091903,23.38143845
BWA,2006,3,28.2,0,0,1,3,1,2.048364708,1.828380524,2.25958535
CAF,2006,1,42.9,3,1,0,3,1,NA,NA,NA
CIV,2006,0,34,1,0,1,5,1,15.94479491,16.06518536,16.64001898
CMR,2006,1,36,3,0,0,3,2,15.6250818,16.73417685,17.56095272
COD,2006,2,45.2,3,0,1,9,2,21.21006065,21.57938225,23.87935949
COG,2006,1,29.5,3,1,0,6,4,4.813146418,6.104237867,5.509406303
COM,2006,0,38.2,0,0,1,3,1,29.37634063,29.37627389,29.37601992
ERI,2006,1,47.5,0,1,0,1,0,24.5999999,22.60000021,10.6422743
ETH,2006,2,49.4,1,0,0,2,1,42.52417012,41.17449856,38.67975495
GAB,2006,1,23.1,2,1,0,3,2,4.911200315,4.984638611,5.467291043
GHA,2006,1,29.2,3,0,1,2,1,28.94894567,37.45301293,37.95242609
GIN,2006,1,35.6,0,0,1,3,0,15.58456342,22.28106496,23.31419591
GMB,2006,2,26.1,0,1,1,2,1,25.60022584,32.09063281,31.50261835
GNB,2006,1,31.7,0,1,0,1,0,42.26040256,44.35828842,41.99168143
GNQ,2006,0,32.8,2,1,1,2,2,1.518255278,NA,NA
KEN,2006,3,36,2,0,1,5,1,20.5196878,24.2362747,24.92904109
LBR,2006,1,40.7,0,0,1,3,0,63.81802502,66.03272919,65.04740245
LSO,2006,2,41.7,0,0,1,1,2,4.842764809,5.671130405,5.984006756
MDG,2006,0,51.5,4,0,1,1,0,30.18227172,30.76273393,31.42050528
MLI,2006,1,35.4,0,1,1,1,1,29.79050883,32.37848184,30.01550987
MOZ,2006,1,45.1,1,0,0,5,0,23.9025048,22.76743048,22.38418555
MRT,2006,0,31,2,0,0,1,1,16.60714389,20.07019672,22.91789922
MWI,2006,1,51.9,0,0,1,6,0,30.86732465,32.91457648,34.71394761
NAM,2006,3,28.2,0,0,1,0,1,9.646471039,10.36848875,8.939778917
NER,2006,1,50.7,1,1,1,2,0,39.74507858,39.28052013,37.37172856
NGA,2006,2,40.3,4,0,1,2,1,24.73499126,26.08928283,27.2304536
RWA,2006,3,49.7,4,0,1,8,1,30.04198743,33.79410695,33.91255785
SEN,2006,0,21.3,1,1,1,1,0,13.39515159,15.18039641,14.20179954
SLE,2006,1,39.2,1,0,1,3,0,50.29408713,49.39145138,48.48605626
SOM,2006,2,32.6,0,0,0,2,1,NA,NA,NA
STP,2006,0,23.4,1,0,0,1,1,8.765243075,8.723964732,9.864626461
SWZ,2006,4,34,2,1,1,2,1,11.18421584,10.9717566,9.659472724
SYC,2006,1,8.6,0,1,1,0,0,2.980658674,3.254551734,3.457136596
TCD,2006,1,41.2,2,1,0,3,0,55.77192044,53.81412435,22.89717623
TGO,2006,1,31.2,2,0,1,2,1,33.64337311,36.55005838,31.11188892
TZA,2006,3,43.1,3,0,1,11,1,23.66931073,24.64884108,25.69697633
UGA,2006,1,39.5,3,0,1,6,1,24.03493298,25.07493613,21.67035264
ZMB,2006,2,49,1,0,1,5,0,13.20627106,14.58855137,15.58094288
ZWE,2006,1,34.6,1,1,0,2,0,19.23011578,17.14823974,18.06379683
AGO,2007,0,33.1,3,0,0,1,3,5.242278337,5.191280189,5.060402948
BDI,2007,1,59.2,0,2,0,4,9,34.93417192,40.63768227,40.84812339
BEN,2007,1,35.9,2,0,0,4,3,26.97108697,26.63180343,26.6894285
BFA,2007,1,40.7,2,1,1,0,3,21.83948741,25.22897616,26.77091903
BWA,2007,1,27.8,2,3,0,0,3,2.240732656,2.048364708,1.828380524
CAF,2007,1,42.6,0,1,1,3,3,NA,NA,NA
CIV,2007,0,33.7,1,0,0,1,5,15.57874633,15.94479491,16.06518536
CMR,2007,2,35.5,0,1,0,3,3,15.85753191,15.6250818,16.73417685
COD,2007,1,44.6,1,2,0,3,9,21.6022053,21.21006065,21.57938225
COG,2007,3,28.3,1,1,1,3,6,4.919811081,4.813146418,6.104237867
COM,2007,1,37.5,2,0,0,0,3,28.95664626,29.37634063,29.37627389
ERI,2007,1,48,1,1,1,0,1,24.26598059,24.5999999,22.60000021
ETH,2007,2,48.1,0,2,0,1,2,42.26501219,42.52417012,41.17449856
GAB,2007,1,21.9,2,1,1,2,3,4.957830803,4.911200315,4.984638611
GHA,2007,3,28.2,0,1,0,3,2,27.29411448,28.94894567,37.45301293
GIN,2007,1,35.6,1,1,0,0,3,16.81970923,15.58456342,22.28106496
GMB,2007,1,25.6,0,2,1,0,2,23.56619704,25.60022584,32.09063281
GNB,2007,1,31.4,0,1,1,0,1,43.17569289,42.26040256,44.35828842
GNQ,2007,0,31.7,1,0,1,2,2,1.372884044,1.518255278,NA
KEN,2007,0,34.9,0,3,0,2,5,20.58666446,20.5196878,24.2362747
LBR,2007,1,39.9,0,1,0,0,3,65.59815004,63.81802502,66.03272919
LSO,2007,1,41.4,1,2,0,0,1,5.392479304,4.842764809,5.671130405
MDG,2007,1,50.7,2,0,0,4,1,28.06701329,30.18227172,30.76273393
MLI,2007,1,34.6,0,1,1,0,1,31.35287468,29.79050883,32.37848184
MOZ,2007,2,44.4,1,1,0,1,5,23.76611914,23.9025048,22.76743048
MRT,2007,1,30,0,0,0,2,1,18.43251928,16.60714389,20.07019672
MWI,2007,1,50.8,1,1,0,0,6,27.51127902,30.86732465,32.91457648
NAM,2007,0,27.7,3,3,0,0,0,8.440713665,9.646471039,10.36848875
NER,2007,1,50.3,0,1,1,1,2,37.09450644,39.74507858,39.28052013
NGA,2007,1,39.9,0,2,0,4,2,24.66257721,24.73499126,26.08928283
RWA,2007,1,48.8,0,3,0,4,8,26.08351546,30.04198743,33.79410695
SEN,2007,1,20.8,0,0,1,1,1,12.24591057,13.39515159,15.18039641
SLE,2007,1,39.1,0,1,0,1,3,52.17604718,50.29408713,49.39145138
SOM,2007,0,32.5,2,2,0,0,2,NA,NA,NA
STP,2007,2,22.5,1,0,0,1,1,9.42166267,8.765243075,8.723964732
SWZ,2007,0,33.5,1,4,1,2,2,10.75417526,11.18421584,10.9717566
SYC,2007,0,8.4,2,1,1,0,0,2.746664742,2.980658674,3.254551734
TCD,2007,0,40.9,0,1,1,2,3,54.67325498,55.77192044,53.81412435
